,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
16182,-0.2672541659652663,-0.08051086821592933,0.18296267749402811,0.6079922708802669,-1.3839143338566637,0.2551482524762775,0.16151373582833575,-0.19248496267081708,0.8467038847953051,0.29419062602218105,-0.9228683347360153,1,0,0,0,0,0,0,0
12242,-0.27962783887851617,-0.47590386918869343,-0.6459871535061403,0.6079922708802669,-0.8907989740120865,0.2787224886602248,2.062181692492864,1.1073880505034275,0.12775468965851283,0.9775358165284759,-0.9228683347360153,1,0,0,0,0,0,0,0
30866,0.2425633940478942,-0.166319562044061,0.6432190637783636,0.6306456373614934,0.09543174567706793,-0.605311368237799,-0.47204224972650705,-0.3542382761542689,0.31824550204518437,0.7009437156092734,1.2061526052343166,0,0,0,0,0,1,0,0
30412,-0.27235928704142,-0.5398397587076935,-0.5336699451821114,0.8798326686549864,-1.3839143338566637,-0.2516978254785895,-0.603505116729137,-0.6777449031211723,0.31210063712948527,-1.2921464233675162,0.1416421352491507,0,0,0,0,0,1,0,0
3375,-0.19489957140477532,-0.497776673497825,-0.6765081340289743,0.6986057368051736,-0.3976836141675093,0.7266329761552234,-1.2639872316700607,-0.6777449031211723,0.06630604050152206,-0.2671286376080046,1.2061526052343166,0,0,0,0,0,1,0,0
22733,2.2842383907232646,-0.1007011491166661,2.360939847603454,-0.5246760531810657,1.0816624653662223,-0.4167174787662206,-0.6304312461152177,-0.24315467532828394,-1.0090453197458171,1.2785331028229279,-0.9228683347360153,1,0,0,0,0,0,0,0
28231,0.8851468020223238,0.05745605127243941,0.2073794619122956,-0.5246760531810657,-1.3839143338566637,0.19621266201640916,1.1118477141606,-0.24705234553270447,0.47186712493766136,0.18843482272954074,1.2061526052343166,1,0,0,0,0,0,0,0
17822,-0.25750695554776754,-0.4607611585131407,0.6468815814411039,-0.29814238836879914,2.561008544899954,-0.6878211948816145,-0.31365325333779637,-0.6777449031211723,0.25679685288819354,1.0751565580293818,-0.9228683347360153,1,0,0,0,0,0,0,0
32463,0.2065809886560287,-0.14612928114332424,1.1401006266900995,-0.026301990594079307,-0.8907989740120865,0.5498262047756187,-0.6304312461152177,-0.4263451749360485,0.6070541530830411,0.06640889585338527,1.2061526052343166,0,0,0,0,0,1,0,0
23568,-0.1270700002526763,0.11634437056625539,0.19028771281950851,-0.1848755559626659,-0.3976836141675093,0.2551482524762775,0.47829172860575714,-0.6777449031211723,0.600909288167342,0.9043202604028197,-0.9228683347360153,1,0,0,0,0,0,0,0
9983,-0.27468556370909597,-0.8023134104172731,-0.5324491059611983,-1.4308107124301317,0.09543174567706793,0.11370283537259361,-0.8838536403371549,-0.5120939194333001,-1.3593026199406646,-1.7070345747463431,-0.9228683347360153,0,0,0,0,0,0,0,1
1636,-0.1835140919255593,-0.5650776098336147,-0.6850540085753678,0.3021718233837072,-0.8907989740120865,-0.0866781721909584,-0.15526425694908566,0.5149421794315079,0.6193438829144393,0.9775358165284759,1.2061526052343166,0,0,0,0,0,1,0,0
